pais_nombre,provincia_nombre,ciudad_nombre,territorio_key
España,Islas Baleares/Illes Balears,Pollença,64abfdfd2d6203f398a9f4e3a1ac574d
España,Álava/Araba,Laguardia,99928082e432c3fc8d3b6b5452940cee
España,Girona,Sant Jaume de Llierca,ddd8ac85de7f1008edcb755484c4da3b
España,Barcelona,Vilafranca del Penedès,123cd133b9272f4a8b8c4ebaad5450eb
España,Lleida,Balaguer,5bff442af74505662f4fed157ac97ee1
España,Córdoba,Conquista,c27684645f391da466a504064317e6ce
España,A Coruña,Tordoia,7a2a1cc1bf7516569b7afefd28a2be61
España,Madrid,Coslada,7c8c47744f6734bde0b480cf440b169c
España,Barcelona,Les Franqueses del Vallès,b032ef9fa39614b217abfe69bfa387ce
España,Barcelona,Calaf,b718b5be963053e0cd6666eb524ac666
España,Zaragoza,Borja,a63baa00607f68a2e404cee9bd135e5f
España,La Rioja,Logroño,9ea1082c5a147767fe6ddccf7f9142b7
España,Barcelona,Capellades,1c049c3e8d8c9bae4dbc7d84e221ac8d
España,A Coruña,Arteixo,c59b22dc142b325d90c0d8dfdd0f7693
España,Barcelona,Castellet i La Gornal,07a507bae6e98a5443ea548b4f0fa208
España,Córdoba,Pozoblanco,0533ef0c24e6a53bc0e82b9e820cc12e
España,Madrid,Leganés,8bec6912856f5f78df93b9a61ad75b48
España,Islas Baleares/Illes Balears,Calvià,78f4effb80467bb0b09359f193dc8b73
España,Cuenca,Villarrubio,89c9f8c075d516aee6c646b0bd8c465e
España,A Coruña,Zas,f176f9894010b38523d059332cf70d95
España,Vizcaya/Bizkaia,Leioa,1eb0aade50e7f30055f63048f4c76f7d
España,Toledo,Illescas,35b62d03cc06198d9171e294da9c21bb
España,Burgos,Burgos,c1bc8208d45470165bbfb04d01ee0eab
España,Almería,Almería,a1c77111c96aace5af15612fed27982c
España,Cantabria,Santander,f469239da26c84222fd62a35b028ed0c
España,Zaragoza,Cuarte de Huerva,6c7d5da856f0c92ac9490c09544b27b5
España,Guipúzcoa/Gipuzkoa,Errenteria,fe19e734e803b427750222dd7daa3756
España,Islas Baleares/Illes Balears,Banyalbufar,2b99cb3395fa46d23890a34b5fa88ebe
España,Alicante/Alacant,Finestrat,bbf7f72df6e7e774a115ac502b7eebc2
España,Burgos,Villagonzalo Pedernales,8b6ba1671574c89fddecafd622b1b989
España,Valencia/València,Albuixech,e6f57bf099eb1d492244e66b640acfae
España,Alicante/Alacant,Castalla,772a4b8e126ae8057479dd1f316250be
España,Barcelona,Ripollet,d0393559c9c393bb78076811850f41e3
España,Sevilla,Bollullos de la Mitación,0818f8b4d9fda6e72cbc8482ea7b67bb
España,Las Palmas,Puerto del Rosario,9508fdd55b72568a4fe345b0061fa8d6
España,Barcelona,Santa Susanna,5dafd54a22741581466539fd3f6e77b6
España,Guadalajara,Fontanar,f08995ce612011305ebcf8f2dc0ec9c2
España,Vizcaya/Bizkaia,Abadiño,282227d39dedac485fb9f7fe8cdff308
España,León,Valdefresno,c79ba254574745c3fe6faec0ea90d087
