oferta_id,compania_nombre,compania_key
89b84a6be74c469ae30934c662b30e,GROUPE SEB IBERICA,ea88de6aa14befe6991582af8360bffc
12a8749eef42fbaeb7f8e46088ba69,GRUPO MORA,47edad508bdd9823c2aa673334cc88ea
52283dbbd549aa8870142adcff3253,M & GT Consulting,d20635d71bb3f8e7cec7632ee66f9325
0601652dfd4742a0617a3637f04c20,COOL ROOMS GESTION SL.,cf66bb9db0f5946f806c409e0374b579
fbf453e4494ef0970cdca80996d4d8,Triangle Solutions RRHH (Hostelería y Restauración),1a61dd561522acbbed9426ab365f1224
d164d5dee94e5c87f057687fbbf4c1,TELEVIDA SERVICIOS SOCIOSANITARIOS SL,616a5e445e96c6bbd90b7bfdc905fe2b
0926de3df4483e8334acffe81f0a65,"CONXEITO DE BEN, SOCIEDAD LIMITADA.",ebaca4798f6adb5f96f82c1357341dfb
1fd09a72a7454b8f323b4f84d58fcf,Rapitecnic Servicio Integral S.L,adaccab8e8cbfdb6afa0db571f31d16b
474ce9bb294b41813fe442ccabeb93,PALACIOS MARCO SL,75083542ec28dfefa88a4adbf24ddd06
65049721274567a098659120ee7e79,Tiko Real Estate Technologies S.L.,2739b0c2af2a5130924c2140f5476c1c
3058f85aaa432b9bed31602f995fa5,GRUPO ORTIZ,b4c43c8984d2994e9c1cc41a57865b6d
0c4d9a89de4b6ba661e674eee091ed,COMERCIAL LOBO SL,f021111f9475fbadb46438ed35a0ed40
1dcd4d10fb4f6096a8d63dee053f29,ANANDA,7000da04e7da64c6497d708f3955a54c
e129af1aa940989379b3986ae815a4,T-Systems,e5b5d090b849f9db5832dcd91e973e29
e174e0794247e29296fc5b06f57443,OAK 2000,20fa18166722f89d434d1eb1d2f5ab28
3788f395a046a8909baa267cbf68f0,LHH Recruitment Solutions,39b7805cb0348d380cffa55e2f21dfc3
7b4cb315684be99b905af417aba191,SELECT SERVICE PARTNER,1a27b2af58e6e632cef6cc9bcc5e6a54
fcc82437c549338d17c793b82cd182,CASA VIVA,7ee2b1982fe4c77a59b58a83e3379eb7
cdfaf2d6c248b48f38ad1db653009f,G.E.M.A.,33b6db3d2179e09ffb186d638cdab474
f802240ada46bf97a796ec6aeef991,TEMPORAL QUALITY,498f88935f0f9af57b172a1ba23e9b19
028cd8e9bd427592ba3cc1908a4cac,THE BRITISH DENTAL CLINIC BARCELONA S.L.,f899f73b407cca58e4ff02e03929329e
a75f4535bb4f2aae2eaad30e4c50cd,Inycom,053896ac8f0a8f79622bc79d89ec9767
e1dabf296f4b33855cb983cda25765,WELAAN,006dba3e6e498f30f14148e808725897
3ce6274728434090a671089dafb33a,GUESS SPAIN&PORTUGAL,13a38046ac4731b5ebbe8fc92a0746c4
3621733d114c2f856f951971ba0523,Eurofirms Foundation,f3ac595eb1be1c79094d8956a0e977d0
40a835ec24454b9f13e90224019710,ACALACA SELECCION E.T.T.,d69b8d019abeb2b198e3b219134291a5
a040b04cf246778f5690892e546d29,LEETERS RECRUITING SL.,ba710b0275169706223571b85e8d7890
ed0d6f19724303bda1a98f08f1b003,"TELICE COMET, S.L.",e05cc08fd68f3b12449fe262698b172c
f62472abb545f088bdd19121074351,"Aragonesa de Piensos, S.A.",6695786224dfb2c78fcae5007ce65cc2
afe18b38024c4783394ffad8a49523,DECOSTUDIO,ef7afe4fc90d5f9dc50bf9040b03a1ed
8d1a2c73054f84ae2a7221ebe41ec7,"AKITA-KEN, S.L.",c3d7ed64b8352b3a3af9f1b7c9dd5f51
eb70093b31475fb6504add71f7778f,Formintegral,711d53e5ba9a511cd2120aba157d9a9c
27d03376844708be613d0703e6f8e9,GRUPO TAVER,95a9ba12590eca0b2bfa2c7deee12e06
b2ae35b95847f2ad23ff12d183968e,EMPRESA INDUSTRIAL EN CRECIMIENTO,4add97d9e5c78ddae0e368fd12c48c5f
31cd3c0f9f43ac9a86a9474de1b13b,LOFOEX SOCIEDAD LIMITADA.,cc2be9d90c59896af4dffcb3e5975e60
e646ee26154af39f9d4b545be090e2,CAR VOLUM,ec2612fb1cf6fa140a11e7c1651e1fe8
ed2939305040dcb1130ec03c54faa5,FOOD & SERVICES FUNDIDO SL.,feec2b8b715228533c3b56145feef1b7
7cc9ee4bdc4330aaacf6a8b5719688,BOSCH SERVICE SOLUTIONS,f76b06048ace36dafd7c4adb2ed36eab
7b2747eacd44b6ae247b83323ce188,OLAVE & ARANZABAL CONSTRUCCIONES SL,0c9790339c8407bb76c0ebe067eb4e47
878065ce0448fb8e272b73e767aed5,Precocinados Frisa S.L.,7493fe601d8de4ff1afa2a015a67bedd
a851cf8cff4edaad2acaa568042a2d,GRUPO JULIÀ,d1a5f88a9820006e723f98add7346143
a236d45b9e47da9d6c525220984416,"JJ Forwarder, S.L.",3d771266c5f4ae6ee35b12808daf4b9a
94a4112292484eb3e9b138c3f32d05,iKARIA Asesores Empresariales,2f55b217987b121780c4e877f734166b
ff2fa117544ac586c5151e69cc97b4,OPACUA S.A.,ebc036fdb37c1f97d7a155262ce68a5f
cc58ae648b45eaa220f877e36a6d69,"LIFTISA, S.L.",d28a362563ab0cc9bf3ac5175894d5a7
c332580ae849508987c3cce1350694,Tema,f055088fba41cb53e3806e55a9f6896e
cdd3405b98491e957ae32716e3ff32,LABORAL GROUP,129b0fbbf7316c2bec0b98110647b494
491bd2dfc94bfba75dd41c7c34d219,HAYS Working for your Tomorrow,42e2361bb11b1742cac916e7a8899470
7ce571284c460fad2a7363c1947a93,HERMANAS HOSPITALARIAS ESPAÑA,db9f8b73e6a455c6a01d6c2f062140b0
64340dd83541b28fa0720da0cabcf8,NEUCROISSANT,04b2a79a36f39c4b8e94dafda9d2532a
57fe81d68c42ea87c5478f7bc856f1,Occident - Ser agente cuando tú quieras,aa26985740ad25b4510736df10f85ca9
ced2069e5b4511a3ce88522e6b1230,HELLOVAN SOLUTIONS SL.,1aad318c316f61934a5f7c4db9b778dd
787094b3204874b8013b98ce1b2767,ACCIONA - SERVICE,9a0ff3280feabd73bddc2e917a9fcde7
af9aad51074aceb6bc9d55fe3cd996,"BARCELONA DE SERVEIS MUNICIPALS, S.A",36ead1a926591194e69d8ff4e18facce
08c006e907451c99b6ebccfe16ea89,CASIMIRO BRIZ MEDIADOR DE SEGUROS SL.,4b4cfc44cb7394fed74e3e67feb2b1de
72b81df5904ec2967aae7a03f6bcce,Walters People,711ead6a780533762e3bd834296c6717
4ffd16e7914977a66c0e1310e4e0a3,Ceràmiques i Artesania Mayolas,b94e0c6dc9527eaf76ac7878697d4320
b214fb931d44c4b1b0a486e637b122,JJASCAN,876db23182cc299015b1d41fd584fd9d
cf8f2b50504c09b50cb6018b28b995,TESTMOTOR SL.,4960c09eb4a3d4ab7c560138854777dd
9d2e2c90bd48c890a871a48876b64e,Quental Technologies,a6f2c9fed90e78391259c5db9891e655
123249d937402aba72172ffd4f4c36,SOLUTIO,7e59489388c48710a71f463588fd6b6d
c544f04d284ea4958e7b577c5bd44e,Sensory  Value,cc82f724a4e1bf0cf722ed700b69aced
53b986374e45beb4b81a1afa68ba09,Empresa del sector industrial,4de0632d6aef35873c62a52f27128b9d
466cad485445e592313a8a1929c75e,Eurofirms Foundation,f3ac595eb1be1c79094d8956a0e977d0
b5b143269946c1ab31bd8876d35de0,CRISMAR TOUR SL.,4576b99592ab2c75aafb2ce95dd0aa98
d4ca5fc09d4ef6b2e1db905957f879,Grupo OHLA,9865405a6e05553c98d6afbc07f9ff6e
3e5e785a8c4700bcd0ae88081b35d6,GRUPO BALLESOL,5abfb9b291422dd6a9b23b1dfa6fa568
7e7825660f4715adcdabdbc256adfb,Studio Banana S.L.,fe4de6ee3dbc0278aa0ed7727e4c7b5f
e9939e19d84ab5bfb716e594cfd7c7,CLIMATIZACION POLOSAL SRL,bbf9e49f9f5a60d35e4d454afe9bf37b
a070ef8ad447b5895d22e831284d11,SACHA,760a449cd844aaf5ed28563d320f4f92
bdd9f9e05049f7a916d5bb2d030c9a,SOLUTIO,7e59489388c48710a71f463588fd6b6d
d73f2818e348868f02b41d660e94fb,ILUNION RETAIL Y COMERCIALIZACION SA.,50cec4f0f239c08d4ca6643408d9fc8e
809d1c72e441d9837c8cd393d9e698,Hospital de Sant Pau,445ea97f8141ff6f3ebc8060b36e15c1
f58f96a4a04739839a082ff001d551,novanotio,a5b58fb12f785607a81fc8ecaf0d5e7b
58b3c9b69f46c09b542ea194f67acc,PAGE PERSONNEL,e4c4aeb082b553886b10d7fdaa3813ca
232d7895d14dacb05fc3d8ddf82fcb,PANNUS GESTION SL.,24487fdc55fdd73c10312f106c0e63a8
51caee268c40839b5b290ab9dad367,GI BPO,7b26d17d5604aee60f91b73850709ab6
9b94bae7534508a80d0de6e4eb7d35,AKKODIS,4c06764c89dc65468426c9236a4899e3
f5c18d94044d01a55c3cc7c3e6360d,Asin-fisioterapia,69c5c771b9c8d89cb9759ce445d71643
1ac3ba2d7e497abde30a5ef60d1c09,GAINVA MARTIN S.L.,0e86b349cab2deb281ce324a52e7a58b
f3d7c8cd0845f98960afa798a7e7a9,Consultia IT,eb43f199e379ac4608c63979e28010b5
933e48953044fc94c64f73100e2571,SALVICON MONTAJE INDUSTRIAL SOCIEDAD LIMITADA.,96250aecc46274deede3856ac5afbf70
c7ebe49c004eb997a465fe39cfe743,MARLEX Interim,6eabca948e3d710b2c81a2edcf433a30
dae1603d784c948f1e6941c5ec3f71,New Yorker Spain,9057ad70319ee9eeda5038f578e787fe
98fd52e90b4c40b67090d8a84e550a,Pantea Group,259cb6fb5d24d167ea2ec4289c221e85
a27bca3b914569834cb61f598b60d2,SHINE SELECTION SL.,5d56f776847ade0c6a5787218e233562
8d2a3ea392420691fd392f0f48c2a9,Coolaboro,56ef056674f2bdc5ea21c509cc25a853
2f5f80f40e4542b76161bc33ff2164,abde business consulting,db1fe994451c35fe2d423b5c9180f66a
0cee0889d44a37a7f01c379aa44260,"GMV EUROLIFT, S.A.U.",5ef8b5c272077800c258bea1a8227495
3868466d3149329a2b24582d34b2cd,FRANMAR WORK SOLUTION,a62009aa81e91e3bd4a5893ac76fcf54
f3b59b7ad74ad5aeea525b52292238,TKN ALUMINIO SL.,c88e5eff503f8788c2c8942f9496e491
ad36e7f46249b6a48b90f4420c0517,Massimo Dutti,f2a76be9089d9f70c099f1139f776095
431610b98c4599a94eae34dcaf4e2b,"Garsaco Import, S.L.",8cccc4c0b674d284548faa42c2e64f30
ff888cdbf14502bb0fbedf71f707c4,SELECT SERVICE PARTNER,1a27b2af58e6e632cef6cc9bcc5e6a54
a7968adc154095bbace0db8778f892,Elkarmedia,c4001a832b562b1c8291d4c4283f174a
72a2109d66416cac65f18e07994563,"ANTIS GUADARRAMA,S.L.",e7fb9844605cf3b225f07d774a05d604
844c76d99e4d22ac7486b00e18ac58,GRUPO ACERCA,62ff71b20c77d52c3c3ec69d8d19c1f3
51ac6a45d94487b4f8d98652e1d1fb,CAMARA DE GIPUZKOA,8713f474c2e582051cb23f205214e19c
ef5852d1a34ec4978c5b4fc6a982b7,TRUCKGLASS SEGRIA SOCIEDAD LIMITADA.,ace7f53309677eed0135bda1c8fe8f35
bc5af5ed9544709d93a08b56133878,KFC Iberia,d9b2e3540f80c760d680db7492bb5f1a
e3b3c458a3402a99c3b7b4ad50e9b9,GESTLIFE,ce3c3e6d6f00e99479c6d0f2f0174553
66ecb81798498ebae918f0e8c6f860,Talent Search People,840719eb4249661ca172a64495de2d02
1c8307718547e68e90f92fb2179989,ALTEN,0877b993b31a68b836f22a905025bfe1
8aac9c149c4674a7e9514305b137c1,FUNDACION PRIVADA PREVENT,13208d69945776b25af539713fe6b76f
32d094f2ea47ee826ebc8b48a9fd21,Pferd Rüggeberg SA,225215ab3860e6138d8f4487c17143ec
6addf241bb4ad8907a9e634ff2118e,CENTAURO RENT A CAR,15bb92502b493ba5bd4694788a6ca27c
57a9169896493da3df32e4448b990f,INETUM Norte,535475f39586c74aefdef5713630aa5b
0479e5058b478288b16800f1633a5f,ITALTEL,42f194054ed21d274902c1135dc62633
724a4066964f3e93a98dd46f9d61a5,Truck One,a9ed0b8163146efbc791a494d2d03a20
a611ed9ee442b6972530d71be0e53c,LEGUMBRES LUENGO SA,4725c048c7ad06aec612ae41e8a457e1
b16bf37428424bbd3c8039f99f4170,ABACUS,9eb7a65cdedae1f26aa7279f64881b77
ee1f77fb3e4766b0534a7b35f980f4,Anadon Clínica Dental,e22673f734979d4fe24df90106ae8000
087e1ad02248b08df863bab2da2a57,SILLIKER IBERICA,fbe70e8976c8661b6682259f983dec23
68339a63f8435bb4a3641a3913b921,IBETEK SERVEIS S.L.,85e318e1c5b61a92db3e7b7f6d659341
4463d01d064958a682c6c73bad60bc,Clubs de Fitness DiR,5192b64c77f94b816fb65c30b0c3b195
46e8eac2b14c6c98879d7b8f8df699,TIKT TAK HOUSE,42ad59dbd7c53222f5fb8d96c5fa9dd8
d67da0844a421280346ae57b5e77fc,TECPESA SA,1d8a0813ad6ecf62673c3efc8ad7d1a6
10208dab884edc96019857ed6793d5,TECNOLOGIAS PLEXUS S.L.,cdb0f22b75dc3ea9552c1772f0eb3302
5f926d47894445b745fb2077d3c630,BECQUEL,efa13b3f6346679ddf6b7a2d0fe9d04a
a87dcd38e64660bc59b177cac34e3f,IBERDELI PREMIUM PRODUCTS S.L.,433a38de9675621faf07f63dc0542b01
5eb256d45f4dea837ef8423818f6d9,CASTILLO Y GASPAR SL,074f301f4b6a55c660ce1df185ace785
43ed4f7dd5483c8404f082ea4622c9,Galejobs Selección,72f9538871ce1e9dcf9bbb3750c9248e
250d5169be46d7a4fef6584046637a,TEAKDECKING SYSTEMS S.L.,df4382e7c1f4f7a70c732474a5614a84
487949f75445bab98ac1fffd6c2ae5,GI BPO,7b26d17d5604aee60f91b73850709ab6
8d4906b08547b4ba55763f85708a9a,EXIS-TI,527867d9b803faa2586e9ed2d264fb01
29228bb40044cdb21468b26f93e1d8,CENTAURO RENT A CAR,15bb92502b493ba5bd4694788a6ca27c
06e27812a045d886dccf0b33f5b026,Serbyte,be39b0359f4905074d559989fd1132ba
c5a29336414fc89323a8aedc6cfaf2,MATEX INTERDIS,6545fbff361c58b73be9e736b2b65128
