oferta_id,idioma_nombre,idioma_key
0cf627858f4d968e71a0c5aae859aa,Español,de92bbe05815c4eb756acb5897baa99c
0cf627858f4d968e71a0c5aae859aa,Italiano,ff46e55c1733301a04c67c3934180a99
0cf627858f4d968e71a0c5aae859aa,Francés,75357f6288b1eb7180e56d572a16a0cd
eb3d93281b4f94ac17586642eaf17e,Inglés,216df59d4dca0cc05c7678221afc6c97
d899c0cce948758f6607c23be38685,Español,de92bbe05815c4eb756acb5897baa99c
1dc9ce20fb44f3b2a5dd7361d4fc92,Inglés,216df59d4dca0cc05c7678221afc6c97
1dc9ce20fb44f3b2a5dd7361d4fc92,Español,de92bbe05815c4eb756acb5897baa99c
927aa996f743ccab8bf0c7b7761e04,Español,de92bbe05815c4eb756acb5897baa99c
927aa996f743ccab8bf0c7b7761e04,Catalán,556b72c736a95cf0df525527a236a079
079cb907014251858c924931b5a151,Español,de92bbe05815c4eb756acb5897baa99c
079cb907014251858c924931b5a151,Catalán,556b72c736a95cf0df525527a236a079
e16f5825514db4949c74060e547657,Inglés,216df59d4dca0cc05c7678221afc6c97
8e438ee359417082380a209a917ff3,Francés,75357f6288b1eb7180e56d572a16a0cd
8e438ee359417082380a209a917ff3,Inglés,216df59d4dca0cc05c7678221afc6c97
927e2b811d4391a0d4f0afd96f1b8b,Inglés,216df59d4dca0cc05c7678221afc6c97
927e2b811d4391a0d4f0afd96f1b8b,Español,de92bbe05815c4eb756acb5897baa99c
7b625b7e834119b495be45a70b6d4f,Inglés,216df59d4dca0cc05c7678221afc6c97
847ec7ed804bfe8fc7666d48b53aed,Francés,75357f6288b1eb7180e56d572a16a0cd
b0365278834a3da429c59138440690,Español,de92bbe05815c4eb756acb5897baa99c
66a2aea04343048ee1e85eb29fc10a,Inglés,216df59d4dca0cc05c7678221afc6c97
9ac95366c24162bd705b760ee381fe,Inglés,216df59d4dca0cc05c7678221afc6c97
4a7c28352c4f2587ee3b867a0cad1a,Inglés,216df59d4dca0cc05c7678221afc6c97
0e6c6b3eb74ef8b87556d228d9d67e,Inglés,216df59d4dca0cc05c7678221afc6c97
391f4af1444cbe8d633c8066997d56,Inglés,216df59d4dca0cc05c7678221afc6c97
634e684d504520ab82ccd7c4ebc73f,Catalán,556b72c736a95cf0df525527a236a079
634e684d504520ab82ccd7c4ebc73f,Español,de92bbe05815c4eb756acb5897baa99c
634e684d504520ab82ccd7c4ebc73f,Inglés,216df59d4dca0cc05c7678221afc6c97
7b5e507f7440aca257dd781faa2e76,Inglés,216df59d4dca0cc05c7678221afc6c97
5f65293c30442780bb7185b7fb91e3,Español,de92bbe05815c4eb756acb5897baa99c
44bba3b0e64d479b747d58a329db74,Inglés,216df59d4dca0cc05c7678221afc6c97
a35cc399e34344a00b88fb65889c51,Español,de92bbe05815c4eb756acb5897baa99c
4aae8d931a49efb5e50e18aaf28f2d,Francés,75357f6288b1eb7180e56d572a16a0cd
4aae8d931a49efb5e50e18aaf28f2d,Inglés,216df59d4dca0cc05c7678221afc6c97
2e3ec61c894bd7ad1f4bc809276212,Inglés,216df59d4dca0cc05c7678221afc6c97
b72401b9f34ebf85c65cb86bfa0d76,Español,de92bbe05815c4eb756acb5897baa99c
b72401b9f34ebf85c65cb86bfa0d76,Catalán,556b72c736a95cf0df525527a236a079
709d2643c241c29fe2b9188d1fdf1c,Catalán,556b72c736a95cf0df525527a236a079
709d2643c241c29fe2b9188d1fdf1c,Español,de92bbe05815c4eb756acb5897baa99c
b174ef81414c80bc7cb3632948c8a9,Inglés,216df59d4dca0cc05c7678221afc6c97
b174ef81414c80bc7cb3632948c8a9,Catalán,556b72c736a95cf0df525527a236a079
b174ef81414c80bc7cb3632948c8a9,Español,de92bbe05815c4eb756acb5897baa99c
b4c8e328b84cce9d290ac5228941e0,Italiano,ff46e55c1733301a04c67c3934180a99
